job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,finish_num,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order,complation_time_ordered,finish_num
165,81,159024,6300,159623,82,-2,165,81,159024,6300,159625,82
166,87,159666,7950,160317,88,48,166,87,159666,7950,160269,88
167,86,160052,7000,160851,87,-52,167,86,160052,7000,160903,87
168,86,160115,7450,161057,87,5,168,86,160115,7450,161052,87
169,88,161797,8000,162446,89,-2,169,88,161797,8000,162448,89
170,89,162487,10300,163188,90,-101,170,89,162487,10300,163289,90
171,84,164100,8700,164854,85,48,171,84,164100,8700,164806,85
172,83,165032,7750,165682,84,-1,172,83,165032,7750,165683,84
173,84,165217,6450,165869,85,-18,173,84,165217,6450,165887,85
174,85,165368,6050,166237,86,-2,174,85,165368,6050,166239,86
175,81,165714,8550,166515,82,26,175,81,165714,8550,166489,82
176,86,166171,7450,167372,87,483,176,86,166171,7450,166889,87
177,88,166762,8900,167522,89,-42,177,88,166762,8900,167564,89
178,85,167421,8750,168472,86,398,178,85,167421,8750,168074,86
179,88,167585,9350,168672,89,-103,179,88,167585,9350,168775,89
180,88,167691,8000,169074,89,302,180,88,167691,8000,168772,89
181,89,167736,7600,169034,90,-92,181,89,167736,7600,169126,90
182,85,171208,8750,171958,86,0,182,85,171208,8750,171958,86
183,87,172398,9300,173098,88,48,183,87,172398,9300,173050,88
184,80,172738,7150,173439,81,-561,184,80,172738,7150,174000,81
185,85,172854,9200,174101,86,-38,185,85,172854,9200,174139,86
186,89,172859,8050,174138,90,-208,186,89,172859,8050,174346,90
187,83,175352,5950,175956,84,53,187,83,175352,5950,175903,84
188,81,176184,6750,176837,82,0,188,81,176184,6750,176837,82
189,81,177603,7650,178207,82,-397,189,81,177603,7650,178604,82
190,86,178539,8800,179143,87,-50,190,86,178539,8800,179193,87
191,86,179814,7900,180565,87,0,191,86,179814,7900,180565,87
192,80,179871,8500,181016,81,146,192,80,179871,8500,180870,81
193,83,181528,8200,182131,84,-48,193,83,181528,8200,182179,84
194,85,182733,7850,183384,86,48,194,85,182733,7850,183336,86
195,85,183075,6500,183727,86,-2,195,85,183075,6500,183729,86
196,90,186178,6750,186778,91,-52,196,90,186178,6750,186830,91
197,87,186554,7950,187558,88,253,197,87,186554,7950,187305,88
198,87,186634,6150,187604,88,148,198,87,186634,6150,187456,88
199,87,188593,9300,189647,88,402,199,87,188593,9300,189245,88
200,86,189842,8800,190444,87,-102,200,86,189842,8800,190546,87
201,87,192460,7500,193061,88,-49,201,87,192460,7500,193110,88
202,86,192637,9250,193559,87,91,202,86,192637,9250,193468,87
203,82,195710,9500,196413,83,52,203,82,195710,9500,196361,83
204,83,197573,8650,198223,84,-100,204,83,197573,8650,198323,84
205,90,199592,9450,200293,91,-401,205,90,199592,9450,200694,91
206,83,200810,9100,201511,84,0,206,83,200810,9100,201511,84
207,88,201123,6200,201910,89,1,207,88,201123,6200,201909,89
208,83,205817,8200,206470,84,-48,208,83,205817,8200,206518,84
209,84,206447,6450,207049,85,1,209,84,206447,6450,207048,85
210,85,207028,11000,207883,86,199,210,85,207028,11000,207684,86
211,85,209691,9650,210342,86,-149,211,85,209691,9650,210491,86
212,85,212476,11900,213631,86,2,212,85,212476,11900,213629,86
213,81,212479,10350,213777,82,47,213,81,212479,10350,213730,82
214,89,213592,8050,214331,90,-212,214,89,213592,8050,214543,90
215,81,213594,6750,214495,82,204,215,81,213594,6750,214291,82
216,82,214269,8150,215021,83,75,216,82,214269,8150,214946,83
217,87,217057,7500,217658,88,-2,217,87,217057,7500,217660,88
218,84,217801,6900,218501,85,-1,218,84,217801,6900,218502,85
219,86,219722,8800,220427,87,54,219,86,219722,8800,220373,87
220,87,220161,7950,220876,88,-47,220,87,220161,7950,220923,88
221,86,220836,8800,221539,87,-51,221,86,220836,8800,221590,87
222,84,221075,7350,221938,85,49,222,84,221075,7350,221889,85
223,86,222446,7450,223048,87,-50,223,86,222446,7450,223098,87
224,84,223373,8700,224374,85,97,224,84,223373,8700,224277,85
225,89,223397,8500,224622,90,396,225,89,223397,8500,224226,90
226,89,226036,7150,226741,90,2,226,89,226036,7150,226739,90
227,90,226667,9450,227517,91,93,227,90,226667,9450,227424,91
228,81,230857,8550,231559,82,99,228,81,230857,8550,231460,82
229,83,231351,8650,232112,84,107,229,83,231351,8650,232005,84
230,82,231696,8150,232607,83,160,230,82,231696,8150,232447,83
231,85,235044,7400,235700,86,-94,231,85,235044,7400,235794,86
232,87,235923,7500,236574,88,-49,232,87,235923,7500,236623,88
233,89,236978,8500,237679,90,-102,233,89,236978,8500,237781,90
234,81,238335,7200,238986,82,46,234,81,238335,7200,238940,82
235,83,238938,10450,239589,84,-98,235,83,238938,10450,239687,84
236,82,239908,8150,240609,83,-100,236,82,239908,8150,240709,83
237,80,240487,9400,241291,81,-201,237,80,240487,9400,241492,81
238,87,240641,6150,241640,88,400,238,87,240641,6150,241240,88
239,86,241051,7900,241793,87,3,239,86,241051,7900,241790,87
240,87,243427,7500,244029,88,-100,240,87,243427,7500,244129,88
241,81,243527,9000,244429,82,-4,241,81,243527,9000,244433,82
242,86,244969,7000,245573,87,2,242,86,244969,7000,245571,87
