job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order
216,90,113472,39600,124257,126694,-2437,216,90,113472,39600
217,85,113928,37550,125257,130145,-4888,217,85,113928,37550
218,82,114660,38750,126027,133645,-7618,218,82,114660,38750
219,87,115066,38550,126937,136195,-9258,219,87,115066,38550
220,88,115453,41300,127937,136695,-8758,220,88,115453,41300
221,82,115588,37400,128027,129660,-1633,221,82,115588,37400
222,86,116104,38500,124980,124648,332,222,86,116104,38500
223,89,116211,40000,126719,125439,1280,223,89,116211,40000
224,86,116246,37600,128062,128586,-524,224,86,116246,37600
225,90,116405,37350,129883,129137,746,225,90,116405,37350
226,82,116970,38300,129031,128493,538,226,82,116970,38300
227,80,117062,34600,129531,129434,97,227,80,117062,34600
228,82,118152,34700,129506,130738,-1232,228,82,118152,34700
229,86,119472,40300,131901,130934,967,229,86,119472,40300
230,80,119935,36400,133223,128324,4899,230,80,119935,36400
231,80,120177,36850,133971,129921,4050,231,80,120177,36850
232,88,121997,39500,134851,131238,3613,232,88,121997,39500
233,87,122233,41250,134006,132228,1778,233,87,122233,41250
234,82,122442,37850,136821,133728,3093,234,82,122442,37850
235,82,122460,35150,136506,134288,2218,235,82,122460,35150
236,86,123969,39850,136487,135288,1199,236,86,123969,39850
237,86,124319,38950,136179,136288,-109,237,86,124319,38950
238,90,125081,41400,133031,136978,-3947,238,90,125081,41400
239,88,125758,40400,136588,137543,-955,239,88,125758,40400
240,83,126863,37000,145884,138034,7850,240,83,126863,37000
241,84,126958,38850,138588,136421,2167,241,84,126958,38850
242,82,127515,38300,136681,138847,-2166,242,82,127515,38300
243,90,127607,41400,136957,140397,-3440,243,90,127607,41400
244,85,128894,39350,137731,142897,-5166,244,85,128894,39350
245,80,129815,35050,138231,144195,-5964,245,80,129815,35050
246,82,130074,37850,139231,148047,-8816,246,82,130074,37850
247,87,130404,38100,140681,150195,-9514,247,87,130404,38100
248,81,131273,36000,141731,152245,-10514,248,81,131273,36000
249,80,132299,38200,144057,155697,-11640,249,80,132299,38200
250,85,132321,38900,144181,158747,-14566,250,85,132321,38900
251,84,133087,35700,144731,161297,-16566,251,84,133087,35700
252,82,133456,37400,145181,141090,4091,252,82,133456,37400
253,86,133831,38950,143273,142090,1183,253,86,133831,38950
254,90,134021,41400,143873,143007,866,254,90,134021,41400
255,89,134851,39100,147283,143653,3630,255,89,134851,39100
256,87,134927,40350,147688,143939,3749,256,87,134927,40350
257,83,135184,37900,148283,144345,3938,257,83,135184,37900
258,85,135484,37550,150383,144829,5554,258,85,135484,37550
259,87,135658,41250,153238,145584,7654,259,87,135658,41250
260,90,136098,41400,155207,147052,8155,260,90,136098,41400
261,82,136204,36950,155331,149202,6129,261,82,136204,36950
262,85,136376,37550,149401,150651,-1250,262,85,136376,37550
263,80,136425,35050,149793,151499,-1706,263,80,136425,35050
264,87,136569,39450,149002,152095,-3093,264,87,136569,39450
265,84,136991,37050,149923,148960,963,265,84,136991,37050
266,81,137115,36000,151101,151010,91,266,81,137115,36000
267,80,137542,37750,152502,152665,-163,267,80,137542,37750
268,87,138222,40350,153014,153584,-570,268,87,138222,40350
269,80,138256,35050,152923,153981,-1058,269,80,138256,35050
270,89,139055,39550,153105,156010,-2905,270,89,139055,39550
271,84,139685,39300,153054,156510,-3456,271,84,139685,39300
272,88,139961,39050,153981,149398,4583,272,88,139961,39050
273,90,140107,40950,155101,151471,3630,273,90,140107,40950
274,85,140423,39350,155660,153634,2026,274,85,140423,39350
275,87,140854,40800,156601,156897,-296,275,87,140854,40800
276,90,140952,43650,157101,158897,-1796,276,90,140952,43650
277,87,141031,38550,158332,161947,-3615,277,87,141031,38550
278,85,144181,39800,160832,164294,-3462,278,85,144181,39800
279,90,144605,43200,163573,167844,-4271,279,90,144605,43200
280,90,144754,40500,160735,169944,-9209,280,90,144754,40500
281,87,145215,40800,160453,170497,-10044,281,87,145215,40800
282,80,145980,34150,161453,161430,23,282,80,145980,34150
283,81,146019,37350,162553,162595,-42,283,81,146019,37350
284,81,146174,37350,163553,163430,123,284,81,146174,37350
285,82,146700,37400,164000,164341,-341,285,82,146700,37400
286,90,146832,42300,163438,165595,-2157,286,90,146832,42300
287,81,147096,35100,167086,166784,302,287,81,147096,35100
288,83,147202,37900,168136,167645,491,288,83,147202,37900
289,87,147477,39450,170088,163252,6836,289,87,147477,39450
290,80,147577,36850,163999,164547,-548,290,80,147577,36850
291,83,148745,36550,164762,167852,-3090,291,83,148745,36550
292,81,149101,36900,165762,168852,-3090,292,81,149101,36900
293,88,149367,39500,166812,166115,697,293,88,149367,39500
294,84,149532,37950,167999,168341,-342,294,84,149532,37950
295,87,149857,38550,168549,169530,-981,295,87,149857,38550
296,87,150368,39450,166593,170341,-3748,296,87,150368,39450
297,86,150549,38500,167431,172245,-4814,297,86,150549,38500
298,80,150690,35950,168431,172792,-4361,298,80,150690,35950
299,82,151083,36500,169284,173292,-4008,299,82,151083,36500
300,80,151305,37300,170693,172848,-2155,300,80,151305,37300
301,81,154320,35550,171835,173848,-2013,301,81,154320,35550
302,82,155457,36050,172931,177348,-4417,302,82,155457,36050
303,90,156389,42750,176334,181348,-5014,303,90,156389,42750
304,85,156477,37550,175335,182348,-7013,304,85,156477,37550
305,81,156487,38700,176407,173847,2560,305,81,156487,38700
306,89,156589,39100,176834,175747,1087,306,89,156589,39100
307,88,156954,40850,173173,176549,-3376,307,88,156954,40850
308,81,157567,36000,176414,177347,-933,308,81,157567,36000
309,83,157586,37000,176551,177384,-833,309,83,157586,37000
310,83,157603,36100,176199,176943,-744,310,83,157603,36100
311,80,158250,36850,178088,178388,-300,311,80,158250,36850
312,84,158391,38850,179588,180938,-1350,312,84,158391,38850
313,80,158591,35950,182389,183488,-1099,313,80,158591,35950
314,83,158626,37900,185439,185548,-109,314,83,158626,37900
315,80,159771,36850,188088,181334,6754,315,80,159771,36850
316,80,159985,38650,190588,182292,8296,316,80,159985,38650
317,85,160269,36650,192607,182845,9762,317,85,160269,36650
318,83,160478,38800,193984,183443,10541,318,83,160478,38800
319,90,161635,40050,194637,184345,10292,319,90,161635,40050
320,81,161892,36900,195138,185280,9858,320,81,161892,36900
321,86,161971,39400,195659,185950,9709,321,86,161971,39400
322,88,162069,39050,196138,187502,8636,322,88,162069,39050
323,83,162136,37900,181731,188445,-6714,323,83,162136,37900
324,85,162216,38900,183914,189330,-5416,324,85,162216,38900
325,87,162230,39900,183731,189880,-6149,325,87,162230,39900
326,84,162597,37050,186414,190993,-4579,326,84,162597,37050
327,89,162686,40000,186260,191880,-5620,327,89,162686,40000
328,83,163672,39250,188464,192880,-4416,328,83,163672,39250
329,87,163702,38550,188231,188046,185,329,87,163702,38550
330,87,164910,40350,189231,190046,-815,330,87,164910,40350
331,90,165271,39600,190014,192747,-2733,331,90,165271,39600
332,90,166042,39600,190652,184332,6320,332,90,166042,39600
333,89,166946,40900,191514,186801,4713,333,89,166946,40900
334,80,168117,37300,192651,189848,2803,334,80,168117,37300
335,81,168746,38250,194360,192348,2012,335,81,168746,38250
336,85,168795,39350,194564,195301,-737,336,85,168795,39350
337,86,169217,39400,195614,198348,-2734,337,86,169217,39400
338,83,169265,37900,196152,200851,-4699,338,83,169265,37900
339,84,169856,36150,196164,204401,-8237,339,84,169856,36150
340,81,169877,37350,192485,206498,-14013,340,81,169877,37350
341,86,170144,41200,193640,208401,-14761,341,86,170144,41200
